,gpu_time,gpu_time_ci,nb_nodes,nb_nodes_ci,lp_iters,lp_iters_ci
expert1.0_alpha1.0,2.3349,0.0889,40.7267,2.4326,3581.9233,85.8204
expertmixed_alpha0.0,3.7704,0.4312,330.0367,70.4672,10052.8167,1673.9261
expert0.0_alpha10.0,2.3196,0.0766,40.0833,3.8591,3649.76,186.1414
expertmixed_alpha10.0,2.2723,0.0714,32.0467,2.6938,3352.69,121.8705
expert0.25_alpha0.0,3.9483,0.2787,354.04,75.7844,11426.9267,2646.0119
expert0.0_alpha0.1,3.1092,0.1089,172.3733,40.1853,7722.5567,1371.5596
expert0.25_alpha1.0,2.3757,0.0605,45.29,4.3223,3881.5267,219.6782
expert1.0_alpha10.0,2.3111,0.0713,30.0933,1.6321,3255.9133,50.1051
expert1.0_alpha0.0,3.8796,0.5558,345.49,117.3888,9341.3133,2088.1325
expert0.25_alpha10.0,2.2916,0.0578,32.41,0.694,3438.5533,27.8837
expert1.0_alpha0.1,2.8349,0.2158,135.2133,52.1742,5795.2833,1168.4854
expert0.0_alpha1.0,2.3779,0.131,48.18,3.4927,3989.5167,206.4393
expert0.0_alpha0.0,3.6856,0.6993,291.2433,124.8509,9957.0567,4132.1296
expertmixed_alpha0.1,2.9388,0.2601,142.7167,58.4165,6558.1133,1271.6411
expertmixed_alpha1.0,2.3933,0.0636,45.5467,1.3919,3900.8367,42.0892
FSB,8.1191,12.9578,21.27,37.1701,2939.49,3220.7883
expert0.25_alpha0.1,2.9063,0.2951,134.2067,43.4579,6264.7167,1796.6366
SCIP,2.777,1.8697,5.53,14.9499,2221.19,1815.2019
